ID,French Word
1,les actifs d’une entreprise
2,faillite, dépôt de bilan
3,faire faillite
4,offre, enchère
5,le plus offrant
6,un courtier
7,produit de base, marchandise
8,fonds propres
9,mise de fonds initiale, investissement initial
10,taux d’intérêt
11,investissement
12,investisseur
13,le passif (d’une entreprise)
14,risquer de, être susceptible de
15,portefeuille d’actions
16,correctement, convenablement
17,immobilier
18,agent immobilier
19,actionnaire
20,flamber
21,un effondrement des ventes
22,partie prenante, acteur
23,en jeu
24,bourse
25,agent de change
26,rendement
27,revenu disponible
28,revenus prévisionnels
29,couvrir les dépenses
30,avoir recours à, avoir en réserve
31,impôt sur le revenu
32,revenu net/revenu brut
33,plan de retraite
34,fonds de caisse
35,rare
36,trimestre
37,de bons conseils
38,filiale
39,une subvention
40,entraîner des bénéfices
41,comptabilité
42,négatif, défavorable
43,contrôleur de gestion, auditeur
44,bilan
45,comptabilité, tenue des comptes
46,trésorerie
47,réserver, affecter
48,joindre
49,une estimation
50,salaire net
51,abattements, exonérations
52,déclaration d’impôts
53,au premier plan
54,notoriété de marque
55,promotion, soutien, approbation
56,produit phare
