ID,French Word
1,aménagements, équipements d’un hôtel
2,couverture
3,complet
4,régler sa note
5,bien situé, pratique
6,ascenseur
7,réception
8,client€
9,service d’entretien
10,tout compris
11,clé magnétique
12,hall d’entrée
13,oreiller
14,bagagiste
15,service d’étage, service de chambre
16,navette
17,serviette
18,la location d’une voiture
19,conduire une voiture avec une boite de vitesses manuelle
20,une assistance en cas de panne
21,tableau de bord
22,permis de conduire
23,citadine
24,faire le plein (de carburant)
25,parc automobile
26,4x4, quatre-quatre
27,station-service
28,phares
29,feux de détresse
30,feu tricolore
31,réverbère
32,crevaison
33,volant
34,la roue de secours est dans le coffre
35,pare-brise
36,préparer pour l’hiver
37,verglas
38,dans les courants d’air
39,un temps doux
40,pluie diluvienne
41,couvert, nuageux
42,une exposition d’art modern
43,entracte
44,vernissage
45,une pièce de théâtre
46,intrigue
47,répétition
48,suite
49,boisson
50,plat principal
51,couverts
52,eau pétillante, gazeuse
53,entrée
54,repas à emporter
55,donner un pourboire
56,l’ensemble des serveurs
