ID,French Word
1,SAV,service après-vente
2,numéro de lot
3,une radio numérique offerte
4,date butoir, date limite
5,la merchandise est en cours de livraison
6,passer commande
7,acheteur
8,faire un devis, une proposition de prix
9,une remise avec une preuve d’achat
10,rappeler un produit
11,rappeler au téléphone plus tard
12,remboursable
13,détaillant
14,frais de port
15,fournisseurs
16,garantie
17,grossiste
18,faire payer trop cher, surfacturer
19,faire payer moins cher, sous-facturer
20,créancier
21,ne pas tenir compte de
22,la somme totale due
23,frais
24,amende, donner une amende à
25,petits caractères
26,avec un peu de chance
27,facture, facturer
28,émettre/faire une chèque
29,le paiement est en cours, en attente
30,frais d’envoi, frais de port et manutention
31,modalités de paiement
32,un transporteur fiable
33,une caisse d’envoi
34,expéditeur, répartiteur
35,accélérer
36,fret, cargaison
37,suivi
38,entrepôt
39,emballer
40,tableau d’affichage des departs
41,covoiturage, faire du covoiturage
42,trajet domicile-travail quotidien
43,controleur
44,montant d’un trajet en taxi
45,siège social
46,une voie réservée aux cyclistes
47,aller simple
48,aller-retour
49,poste de péage
50,arrivée des bagages
51,équipage
52,bagage à main
53,enregistrement
54,douane
55,attacher/défaire votre ceinture
56,porte d’embarquement
