ID,French Word
1,chargé de clientèle
2,s’abstenir de
3,membre du conseil d’administration
4,manquer de,ne plus avoir de
5,PDG
6,agrafeuse
7,directeur financier
8,fontaine à eau
9,employé de bureau
10,pièce jointe
11,prestataire,contractuel,entrepreneur
12,en-tête
13,chef de rayon
14,extreme,le plus
15,graphiste
16,code postal
17,chef de service
18,évaluation
19,DRH
20,atout
21,stagiaire
22,l’actif,les avoirs
23,informatician
24,pointer
25,demandeur d’emploi
26,qualifications,références
27,responsable administratif
28,renvoyer
29,assistant de direction
30,réduire les effectifs
31,salesperson,commerciale,representant
32,donner son préavis
33,agent de sécurité
34,licencier
35,chef de chantier,responsable de site
36,congé maladie
37,intérimaire
38,main-d’oeuvre,effectifs
39,classeur
40,démissionner
41,cartouche
42,préselectionner
43,publishing assistée par ordinateur,PAO
44,embaucher
45,partage de bureaux
46,agence d’intérim
47,tiroir
48,mutation,muter
49,dossier,chemise
50,poste vacant
51,independent,à son compte,travailleur indépendant
52,à plein-temps
53,à temps partiel
54,accord qui engage
55,parapher
56,avenant
57,heures supplémentaires
