ID,English Word
1,injury
2,leaflet
3,medication
4,physician
5,potent
6,medical practice
7,a practicing surgeon
8,to fill a prescription
9,relapse
10,sibling
11,side effects
12,tablet
13,a cavity
14,dentistry
15,a balanced diet
16,"ER, emergency room"
17,eyestrain
18,unhygienic
19,contact lenses
20,nurse
21,optician
22,a referral
23,relief
24,physical therapy, physiotherapy
25,wheelchair
26,to balance on one foot
27,bend down
28,a climber
29,crouch
30,grab
31,kneel
32,kick
33,shake hands
34,shaky
35,to be at a standstill
36,to struggle with
37,an ATM withdrawal
38,a bank balance
39,to borrow
40,the local branch
41,to cash a check
42,a deposit
43,extra charges
44,funding
45,to incur fees
46,to lend
47,monthly car instalment
48,money transfer
49,mortgage
50,overdraft
51,to pay off a debt
52,savings
53,a bank statement
54,up-front
55,a secure investment
56,to split the costs
