ID,English Word
1,hotel amenities/facilities
2,blanket
3,booked up/fully booked
4,to check out
5,convenient
6,elevator
7,front desk
8,guest
9,housekeeping services
10,all-inclusive
11,keycard
12,lobby
13,pillow
14,a porter
15,room service
16,shuttle
17,towel
18,car rental
19,to drive a manual
20,roadside assistance for breakdowns
21,dashboard
22,driver’s license
23,economy car
24,to fill up, to fill a tank (with gas)
25,fleet of vehicles
26,four-wheel drive
27,gas station
28,headlights
29,hazard lights
30,traffic light
31,streetlight
32,puncture
33,steering wheel
34,the spare tire is in the trunk
35,windshield
36,to winterize
37,black ice
38,drafty
39,mild weather
40,torrential rain
41,overcast, cloudy
42,a modern art exhibition
43,intermission
44,a gallery opening
45,a play
46,plot
47,rehearsal
48,sequel
49,beverage
50,main course
51,cutlery
52,sparkling water
53,starter
54,takeout
55,to leave a tip
56,waitstaff (waiter, waitress, server)
