ID,French Word
1,blessure
2,notice
3,mdicament
4,mdecin
5,puissant, fort
6,cabinet mdical
7,un chirurgien en exercice, en activit
8,aller chercher, (se faire) dlivrer une ordonnance
9,rechute, rechuter
10,frère ou sœur
11,effets secondaires
12,comprim
13,une carie
14,soins dentaires, tudes dentaires
15,alimentation quilibre
16,les urgences
17,fatigue visuelle
18,peu hyginique
19,verres, lentilles
20,infirmier(-ière)
21,opticien(ne)
22,une recommandation
23,soulagement
24,kinsithrapie
25,fauteuil roulant
26,se tenir en quilibre sur un pied
27,se pencher, se baisser
28,alpiniste, arriviste
29,être accroupi, s’accroupir
30,attraper
31,être/se mettre à genoux
32,donner des coups de pied
33,(se) serrer la main
34,tremblant, peu stable, incertain
35,être à l’arrêt
36,lutter avec
37,un retrait au distributeur
38,solde
39,emprunter
40,agence
41,encaisser un chèque
42,un versement
43,frais annexes
44,financement
45,entraîner des coûts, frais
46,prêter
47,mensualit pour un crdit automobile
48,virement
49,crdit immobilier, hypothèque
50,dcouvert
51,rembourser un crdit
52,pargne
53,relev de compte
54,à l’avance
55,un investissement sûr
56,partager les frais
