id,word
1,feasibility
2,fulfilling
3,to launch
4,marketable
5,market research
6,corner the market
7,mislead
8,paradigm shift
9,a poll
10,a full range
11,to rank
12,ahead of/behind/on schedule
13,showcase
14,target
15,assembly line
16,civil engineering
17,factory
18,foreman
19,forklift truck
20,fully equipped
21,hard hat
22,high visibility vest
23,to hone your skills
24,laboratory apparatus
25,a ladder
26,maintenance crew
27,overseer
28,power plant
29,repairman
30,a state of disrepair
31,safety hazard
32,safety net
33,to work in shifts
34,shovel
35,undergo renovations
36,utility
37,among
38,a city block
39,city hall
40,crosswalk
41,intersection
42,lost and found
43,deputy mayor
44,press release
45,roadworks
46,sign
47,sweeper
48,heavy traffic
49,within walking distance
50,carpet
51,fence
52,gate
53,landlord
54,lawnmower
55,subdivision
56,wheelbarrow
