ID,French Word
1,respecter les termes du contractor
2,une augmentation de salaire
3,encourager à,favoriser
4,avantages
5,période d'essai
6,ordre du jour
7,annuler
8,annulation
9,retourner
10,approvisionnement
11,vue d'ensemble,aperçu
12,logement,hébergement
13,traiteur
14,séminaire d'entreprise
15,repas de remerciement aux employés,repas de remerciement aux employées
16,de la part de
17,retraite
18,salon professionnel
19,vente au détail
20,vêtements
21,regarder,jeter un coup d'oeil
22,caissier,caissière
23,caisse
24,produits laitiers
25,présentoir
26,cabine d'essayage
27,ticket de caisse
28,en rupture de stock
29,avoir plus d'un tour dans son sac
30,s'attendre à
31,espérance de vie
32,bulletin de paie
33,augmentation de salaire
34,bénévole,se porter volontaire,faire du bénévolat
35,être organisé pour, être pret pour
36,paper-board
37,feuilleter
38,compte-rendu,procès verbal
39,reporter
40,stand,cabine,box
41,événement caritatif
42,congrès annuel
43,collecte de fond
44,sortie
45,planning,planifier
46,atelier
47,allée de fruits et légumes,rayon de fruits et légumes
48,appareils éléctroménager
49,chariot
50,rendre la monnaie
51,bon de réduction
52,réduction,remise
53,tissue
54,etiquette
55,manche
56,employé de magasin
57,marge
