ID,English Word
1,abide by the term of a contractor
2,an hourly wage increase
3,incentivize
4,benefits,perks
5,trial period
6,agenda
7,cancel
8,cancellation
9,flip overt
10,procurement
11,overview
12,accomodation
13,caterer
14,company retreat
15,employee appreciation dinner
16,on behalf of
17,retirement
18,trade show
19,retail
20,apparel
21,browse
22,cashier
23,check out
24,dairy product
25,display case
26,fitting room
27,receipt
28,out of stock
29,have something up your sleeve
30,to expect
31,life expectancy
32,pay slip
33,a raise,an increase in wages
34,volunteer
35,be set for something
36,flip chart
37,flip through
38,the minutes
39,postpone
40,booth
41,charity event
42,annual convention
43,fundraise
44,outing
45,schedule
46,workshop
47,fresh product aisle
48,household appliances
49,cart
50,to give back chnage
51,coupon
52,discount
53,fabric
54,label
55,sleeve
56,store associate
57,markup
